Date,Open,High,Low,Close,Volume
May 21 2015,21.4,21.84,21.4,21.58,82428000
May 22 2015,21.58,21.62,21.38,21.38,40412000
May 26 2015,21.31,21.35,21.1,21.27,44884000
May 27 2015,21.37,21.59,21.25,21.57,44622000
May 28 2015,21.49,21.57,21.27,21.33,38248000
May 29 2015,21.36,21.63,21.36,21.46,60322000
Jun 01 2015,21.52,21.66,21.31,21.55,45066000
Jun 02 2015,21.5,21.66,21.31,21.55,33378000
Jun 03 2015,21.72,21.92,21.64,21.83,54558000
Jun 04 2015,21.72,21.84,21.46,21.54,50216000
Jun 05 2015,21.48,21.54,21.33,21.35,38158000
Jun 08 2015,21.28,21.34,21.07,21.17,43450000
Jun 09 2015,21.15,21.37,20.96,21.27,45774000
Jun 10 2015,21.32,21.61,21.28,21.54,43446000
Jun 11 2015,21.61,21.94,21.57,21.65,58450000
Jun 12 2015,21.56,21.62,21.41,21.5,41088000
Jun 15 2015,21.38,21.4,21.13,21.18,41020000
Jun 16 2015,21.21,21.4,21.13,21.36,45928000
Jun 17 2015,21.42,21.57,21.24,21.39,43718000
Jun 18 2015,21.51,21.99,21.47,21.97,67568000
Jun 19 2015,22.01,22.25,21.66,21.75,89902000
Jun 22 2015,21.85,21.96,21.71,21.81,36472000
Jun 23 2015,21.78,22.35,21.68,22.3,64900000
Jun 24 2015,22.25,22.32,22.01,22.04,52416000
Jun 25 2015,21.9,22.17,21.82,22.0,44750000
Jun 26 2015,22.09,22.17,21.75,21.91,52490000
Jun 29 2015,21.75,21.85,21.45,21.49,55064000
Jun 30 2015,21.71,21.78,21.52,21.7,51938000
Jul 01 2015,21.97,22.0,21.78,21.87,39742000
Jul 02 2015,21.85,21.91,21.67,21.89,26868000
Jul 06 2015,21.76,21.99,21.68,21.8,38064000
Jul 07 2015,21.78,21.89,21.28,21.84,69084000
Jul 08 2015,21.72,21.8,21.44,21.49,47662000
Jul 09 2015,21.75,21.94,21.71,21.72,45428000
Jul 10 2015,22.02,22.24,21.95,22.18,48020000
Jul 13 2015,22.41,22.89,22.38,22.78,79136000
Jul 14 2015,23.12,23.48,22.91,23.28,94724000
Jul 15 2015,23.15,23.24,23.01,23.06,59748000
Jul 16 2015,23.27,23.79,23.24,23.77,81912000
Jul 17 2015,23.89,24.27,23.86,24.15,98644000
Jul 20 2015,24.63,24.66,24.27,24.41,95050000
Jul 21 2015,24.4,24.44,24.13,24.4,63636000
Jul 22 2015,24.3,24.63,24.25,24.41,62298000
Jul 23 2015,24.58,24.58,23.78,24.11,187488000
Jul 24 2015,28.95,29.03,26.47,26.47,438188000
Jul 27 2015,26.39,27.25,26.33,26.57,149820000
Jul 28 2015,26.8,26.82,26.16,26.3,105462000
Jul 29 2015,26.55,26.65,26.25,26.45,75052000
Jul 30 2015,26.38,26.96,26.21,26.84,74862000
Jul 31 2015,26.95,27.14,26.73,26.81,60512000
Aug 03 2015,26.87,27.02,26.47,26.75,60284000
Aug 04 2015,26.48,26.85,26.46,26.59,58692000
Aug 05 2015,26.94,26.96,26.71,26.85,57788000
Aug 06 2015,26.97,27.14,26.38,26.47,76410000
Aug 07 2015,26.46,26.47,25.91,26.13,79384000
Aug 10 2015,26.43,26.61,26.15,26.2,52318000
Aug 11 2015,26.18,26.45,26.1,26.37,53532000
Aug 12 2015,26.19,26.38,25.65,26.3,79246000
Aug 13 2015,26.37,26.73,26.27,26.48,57904000
Aug 14 2015,26.41,26.71,26.41,26.58,39896000
Aug 17 2015,26.56,26.94,26.36,26.76,51634000
Aug 18 2015,26.75,26.97,26.65,26.75,41426000
Aug 19 2015,26.69,26.86,26.45,26.65,46480000
Aug 20 2015,26.52,26.66,25.79,25.79,88160000
Aug 21 2015,25.37,25.62,24.72,24.72,134130000
Aug 24 2015,23.18,23.83,22.55,23.17,201952000
Aug 25 2015,24.37,24.47,23.31,23.32,113586000
Aug 26 2015,24.2,25.19,23.94,25.04,127172000
Aug 27 2015,25.69,26.13,25.36,25.92,122290000
Aug 28 2015,25.88,26.08,25.65,25.9,54934000
Aug 31 2015,25.82,25.97,25.45,25.64,60046000
Sep 01 2015,24.96,25.5,24.67,24.83,77290000
Sep 02 2015,25.25,25.54,24.89,25.53,74142000
Sep 03 2015,25.73,25.79,25.13,25.24,62994000
Sep 04 2015,24.88,25.14,24.78,24.95,53850000
Sep 08 2015,25.43,25.92,25.43,25.88,76214000
Sep 09 2015,26.2,26.5,25.75,25.84,87414000
Sep 10 2015,25.76,26.31,25.74,26.11,51520000
Sep 11 2015,26.05,26.47,26.03,26.47,64558000
Sep 14 2015,26.47,26.62,25.93,26.07,62604000
Sep 15 2015,26.16,26.4,25.86,26.12,57318000
Sep 16 2015,26.1,26.42,25.93,26.37,45056000
Sep 17 2015,26.35,27.35,26.33,26.94,83390000
Sep 18 2015,26.73,27.31,26.57,27.01,123202000
Sep 21 2015,27.22,27.49,26.98,27.42,65666000
Sep 22 2015,26.99,27.18,26.63,26.92,76834000
Sep 23 2015,26.92,27.06,26.7,26.8,44752000
Sep 24 2015,26.53,26.73,26.14,26.69,70020000
Sep 25 2015,27.13,27.14,26.07,26.21,80620000
Sep 28 2015,26.0,26.01,24.72,25.2,108690000
Sep 29 2015,25.3,25.57,24.52,24.8,89150000
Sep 30 2015,25.27,25.64,25.08,25.59,80094000
Oct 01 2015,25.55,26.04,25.3,26.04,75370000
Oct 02 2015,25.65,26.63,25.41,26.63,91956000
Oct 05 2015,26.85,27.3,26.8,27.18,67828000
Oct 06 2015,27.27,27.58,26.67,26.87,90056000
Oct 07 2015,27.09,27.1,26.45,27.1,76242000
Oct 08 2015,26.84,26.97,25.99,26.66,93528000
Oct 09 2015,26.72,27.09,26.51,26.99,70748000
Oct 12 2015,27.0,27.54,26.99,27.51,55522000
Oct 13 2015,27.31,27.66,27.16,27.44,58760000
Oct 14 2015,27.57,27.61,26.98,27.24,71642000
Oct 15 2015,27.39,28.15,27.35,28.12,98740000
Oct 16 2015,28.26,28.55,28.02,28.54,86316000
Oct 19 2015,28.54,28.95,28.37,28.66,87508000
Oct 20 2015,28.6,28.65,27.76,28.04,86924000
Oct 21 2015,28.19,28.26,27.63,27.79,66872000
Oct 22 2015,28.14,28.46,27.83,28.2,155588000
Oct 23 2015,30.88,30.97,29.77,29.95,213854000
Oct 26 2015,30.11,30.49,29.81,30.43,85394000
Oct 27 2015,30.43,30.74,30.28,30.55,75742000
Oct 28 2015,30.61,30.86,30.48,30.85,78524000
Oct 29 2015,30.89,31.38,30.77,31.33,77920000
Oct 30 2015,31.3,31.54,31.26,31.3,77488000
Nov 02 2015,31.36,31.43,31.02,31.42,56330000
Nov 03 2015,31.48,31.49,31.1,31.27,64938000
Nov 04 2015,31.39,32.3,31.37,32.05,96810000
Nov 05 2015,32.35,32.85,32.15,32.78,94476000
Nov 06 2015,32.75,33.11,32.6,32.97,81844000
Nov 09 2015,32.93,33.1,32.39,32.77,80976000
Nov 10 2015,32.55,33.0,32.36,32.98,69790000
Nov 11 2015,33.16,33.8,33.16,33.66,107746000
Nov 12 2015,33.65,33.78,33.21,33.28,85694000
Nov 13 2015,33.18,33.35,32.02,32.12,125222000
Nov 16 2015,32.05,32.5,31.11,32.39,148718000
Nov 17 2015,32.53,32.66,32.05,32.17,86404000
Nov 18 2015,32.33,33.24,32.32,33.18,89396000
Nov 19 2015,33.25,33.64,32.95,33.06,94104000
Nov 20 2015,33.4,33.44,32.88,33.42,77922000
Nov 23 2015,33.58,34.14,33.51,33.95,87702000
Nov 24 2015,33.71,33.79,33.06,33.56,90868000
Nov 25 2015,33.75,33.99,33.56,33.77,53958000
Nov 27 2015,34.04,34.05,33.6,33.66,39336000
Nov 30 2015,33.79,34.06,33.23,33.24,113864000
Dec 01 2015,33.69,34.05,33.39,33.95,95024000
Dec 02 2015,34.05,34.24,33.71,33.8,85470000
Dec 03 2015,33.97,34.14,33.07,33.31,101294000
Dec 04 2015,33.3,33.74,33.07,33.63,90696000
Dec 07 2015,33.74,33.77,33.03,33.49,74656000
Dec 08 2015,33.16,34.0,32.99,33.87,73038000
Dec 09 2015,33.9,33.95,32.78,33.24,103164000
Dec 10 2015,33.28,33.43,32.98,33.12,69110000
Dec 11 2015,32.56,32.89,31.98,32.01,109488000
Dec 14 2015,32.09,32.93,31.76,32.9,86594000
Dec 15 2015,33.25,33.58,32.87,32.93,95068000
Dec 16 2015,33.18,33.87,32.97,33.79,79290000
Dec 17 2015,34.0,34.13,33.53,33.53,73632000
Dec 18 2015,33.43,33.84,33.21,33.21,136826000
Dec 21 2015,33.42,33.49,32.95,33.23,65018000
Dec 22 2015,33.34,33.42,32.96,33.16,53356000
Dec 23 2015,33.33,33.33,32.83,33.19,54458000
Dec 24 2015,33.17,33.23,33.03,33.14,21824000
Dec 28 2015,33.28,33.78,33.28,33.76,75672000
Dec 29 2015,33.9,34.82,33.89,34.7,114700000
Dec 30 2015,34.59,34.77,34.32,34.45,70380000
Dec 31 2015,34.3,34.39,33.79,33.79,74992000
Jan 04 2016,32.81,32.89,31.38,31.85,186290000
Jan 05 2016,32.34,32.35,31.38,31.69,116452000
Jan 06 2016,31.1,31.99,31.02,31.63,106584000
Jan 07 2016,31.09,31.5,30.26,30.4,141498000
Jan 08 2016,30.98,31.21,30.3,30.35,110258000
Jan 11 2016,30.62,30.99,29.93,30.89,97832000
Jan 12 2016,31.26,31.3,30.61,30.89,94482000
Jan 13 2016,31.04,31.04,28.96,29.09,153104000
Jan 14 2016,29.01,30.11,28.49,29.65,144760000
Jan 15 2016,28.61,29.23,28.26,28.51,155690000
Jan 19 2016,28.85,29.2,28.32,28.72,96144000
Jan 20 2016,28.22,28.92,27.36,28.59,159328000
Jan 21 2016,28.68,29.44,28.41,28.75,99044000
Jan 22 2016,29.44,30.0,29.21,29.82,102402000
Jan 25 2016,29.9,30.42,29.73,29.83,87922000
Jan 26 2016,30.17,30.23,29.52,30.06,75314000
Jan 27 2016,30.1,30.17,28.94,29.17,103058000
Jan 28 2016,30.42,31.9,29.88,31.77,280304000
Jan 29 2016,28.6,29.65,28.5,29.35,293552000
Feb 01 2016,28.91,29.09,28.52,28.74,127102000
Feb 02 2016,28.5,28.58,27.5,27.6,126240000
Feb 03 2016,27.67,27.8,26.09,26.55,200974000
Feb 04 2016,26.25,26.95,25.96,26.81,123982000
Feb 05 2016,26.46,26.47,24.96,25.11,194178000
Feb 08 2016,24.32,24.67,23.76,24.41,196510000
Feb 09 2016,23.9,24.92,23.7,24.1,141558000
Feb 10 2016,24.59,25.23,24.3,24.52,135724000
Feb 11 2016,24.56,25.47,24.2,25.19,147948000
Feb 12 2016,25.53,25.84,25.07,25.35,107696000
Feb 16 2016,25.97,26.22,25.58,26.06,102370000
Feb 17 2016,26.44,26.87,25.97,26.7,96480000
